id_n;gender;img_name;morph_level;resp_happy;RT
1;0;Fig_1.png;1;1;1,082224304185598
1;0;Fig_1.png;1;1;0,922375880182924
1;0;Fig_1.png;1;1;1,252026967044781
1;0;Fig_1.png;1;1;0,877159939304124
1;0;Fig_1.png;1;1;3,515821428879961
1;0;Fig_1.png;1;1;2,283506173870850
1;0;Fig_1.png;1;1;1,534827319076896
1;0;Fig_1.png;1;1;1,490563021913885
1;0;Fig_1.png;1;1;0,856484663592208
1;0;Fig_1.png;1;1;1,608432293420262
1;0;Fig_1.png;1;1;0,933122118838815
1;0;Fig_1.png;1;1;0,697602745931102
1;0;Fig_1.png;1;1;2,497306380148086
1;0;Fig_1.png;1;1;0,722367030253851
1;0;Fig_1.png;1;1;0,955783112561773
1;0;Fig_2.png;2;1;0,829685930545771
1;0;Fig_2.png;2;1;0,716621218222086
1;0;Fig_2.png;2;1;1,417297257971818
1;0;Fig_2.png;2;1;0,555704857463315
1;0;Fig_2.png;2;1;0,993616091278794
1;0;Fig_2.png;2;1;0,844698701717709
1;0;Fig_2.png;2;1;0,589397781498129
1;0;Fig_2.png;2;1;1,054940304794323
1;0;Fig_2.png;2;1;0,899861102671435
1;0;Fig_2.png;2;1;0,838044442789350
1;0;Fig_2.png;2;1;1,677514537854824
1;0;Fig_2.png;2;1;1,376287555929218
1;0;Fig_2.png;2;1;1,045656730651549
1;0;Fig_2.png;2;1;1,165992591057372
1;0;Fig_2.png;2;1;0,786092040802083
1;0;Fig_3.png;3;1;0,995743065524587
1;0;Fig_3.png;3;1;1,769527817336074
1;0;Fig_3.png;3;1;1,080212210230034
1;0;Fig_3.png;3;1;1,168720700459383
1;0;Fig_3.png;3;1;2,658236182273519
1;0;Fig_3.png;3;1;0,797835520423161
1;0;Fig_3.png;3;1;1,662543210469502
1;0;Fig_3.png;3;1;2,397254321647600
1;0;Fig_3.png;3;1;0,680548816861408
1;0;Fig_3.png;3;1;1,096720728781952
